,Offense,District,Status,Activity,2016,2017
181,First Degree Sexual/Child Abuse,District 2,No Conviction,Dismissals,0,0
182,First Degree Sexual/Child Abuse,District 2,No Conviction,Not Guilty Verdict,0,0
183,First Degree Sexual/Child Abuse,District 2,In Progress,Pending Cases,0,0
184,First Degree Sexual/Child Abuse,District 3,Arrest,No Papered Cases,1,2
185,First Degree Sexual/Child Abuse,District 3,Arrest,Papered Cases,7,4
186,First Degree Sexual/Child Abuse,District 3,Conviction,Jury Trial,0,0
187,First Degree Sexual/Child Abuse,District 3,Conviction,Court Trial,0,0
188,First Degree Sexual/Child Abuse,District 3,Conviction,Guilty Pleas,2,3
189,First Degree Sexual/Child Abuse,District 3,No Conviction,Dismissals,4,1
190,First Degree Sexual/Child Abuse,District 3,No Conviction,Not Guilty Verdict,0,0
191,First Degree Sexual/Child Abuse,District 3,In Progress,Pending Cases,1,0
192,First Degree Sexual/Child Abuse,District 4,Arrest,No Papered Cases,8,4
193,First Degree Sexual/Child Abuse,District 4,Arrest,Papered Cases,7,9
194,First Degree Sexual/Child Abuse,District 4,Conviction,Jury Trial,0,0
195,First Degree Sexual/Child Abuse,District 4,Conviction,Court Trial,1,0
196,First Degree Sexual/Child Abuse,District 4,Conviction,Guilty Pleas,3,5
197,First Degree Sexual/Child Abuse,District 4,No Conviction,Dismissals,2,3
198,First Degree Sexual/Child Abuse,District 4,No Conviction,Not Guilty Verdict,0,0
199,First Degree Sexual/Child Abuse,District 4,In Progress,Pending Cases,1,1
200,First Degree Sexual/Child Abuse,District 5,Arrest,No Papered Cases,2,2
201,First Degree Sexual/Child Abuse,District 5,Arrest,Papered Cases,10,4
202,First Degree Sexual/Child Abuse,District 5,Conviction,Jury Trial,0,0
203,First Degree Sexual/Child Abuse,District 5,Conviction,Court Trial,1,0
204,First Degree Sexual/Child Abuse,District 5,Conviction,Guilty Pleas,8,0
205,First Degree Sexual/Child Abuse,District 5,No Conviction,Dismissals,1,1
206,First Degree Sexual/Child Abuse,District 5,No Conviction,Not Guilty Verdict,0,0
207,First Degree Sexual/Child Abuse,District 5,In Progress,Pending Cases,0,3
208,First Degree Sexual/Child Abuse,District 6,Arrest,No Papered Cases,6,6
209,First Degree Sexual/Child Abuse,District 6,Arrest,Papered Cases,15,17
210,First Degree Sexual/Child Abuse,District 6,Conviction,Jury Trial,0,0
211,First Degree Sexual/Child Abuse,District 6,Conviction,Court Trial,0,0
212,First Degree Sexual/Child Abuse,District 6,Conviction,Guilty Pleas,11,9
213,First Degree Sexual/Child Abuse,District 6,No Conviction,Dismissals,4,4
214,First Degree Sexual/Child Abuse,District 6,No Conviction,Not Guilty Verdict,0,0
215,First Degree Sexual/Child Abuse,District 6,In Progress,Pending Cases,0,4
216,First Degree Sexual/Child Abuse,District 7,Arrest,No Papered Cases,2,3
217,First Degree Sexual/Child Abuse,District 7,Arrest,Papered Cases,9,14
218,First Degree Sexual/Child Abuse,District 7,Conviction,Jury Trial,1,0
219,First Degree Sexual/Child Abuse,District 7,Conviction,Court Trial,0,0
220,First Degree Sexual/Child Abuse,District 7,Conviction,Guilty Pleas,4,4
221,First Degree Sexual/Child Abuse,District 7,No Conviction,Dismissals,4,4
222,First Degree Sexual/Child Abuse,District 7,No Conviction,Not Guilty Verdict,0,1
223,First Degree Sexual/Child Abuse,District 7,In Progress,Pending Cases,0,5
224,First Degree Theft,District 1,Arrest,No Papered Cases,3,2
225,First Degree Theft,District 1,Arrest,Papered Cases,44,28
226,First Degree Theft,District 1,Conviction,Jury Trial,1,0
227,First Degree Theft,District 1,Conviction,Court Trial,1,0
228,First Degree Theft,District 1,Conviction,Guilty Pleas,22,17
229,First Degree Theft,District 1,No Conviction,Dismissals,18,7
230,First Degree Theft,District 1,No Conviction,Not Guilty Verdict,2,0
231,First Degree Theft,District 1,In Progress,Pending Cases,0,4
232,First Degree Theft,District 2,Arrest,No Papered Cases,0,1
233,First Degree Theft,District 2,Arrest,Papered Cases,11,6
234,First Degree Theft,District 2,Conviction,Jury Trial,0,0
235,First Degree Theft,District 2,Conviction,Court Trial,0,0
236,First Degree Theft,District 2,Conviction,Guilty Pleas,8,2
237,First Degree Theft,District 2,No Conviction,Dismissals,3,3
238,First Degree Theft,District 2,No Conviction,Not Guilty Verdict,0,0
239,First Degree Theft,District 2,In Progress,Pending Cases,0,1
240,First Degree Theft,District 3,Arrest,No Papered Cases,2,2
241,First Degree Theft,District 3,Arrest,Papered Cases,11,8
242,First Degree Theft,District 3,Conviction,Jury Trial,0,0
243,First Degree Theft,District 3,Conviction,Court Trial,0,0
244,First Degree Theft,District 3,Conviction,Guilty Pleas,5,5
245,First Degree Theft,District 3,No Conviction,Dismissals,5,2
246,First Degree Theft,District 3,No Conviction,Not Guilty Verdict,0,0
247,First Degree Theft,District 3,In Progress,Pending Cases,1,1
248,First Degree Theft,District 4,Arrest,No Papered Cases,3,3
249,First Degree Theft,District 4,Arrest,Papered Cases,4,9
250,First Degree Theft,District 4,Conviction,Jury Trial,0,0
251,First Degree Theft,District 4,Conviction,Court Trial,0,0
252,First Degree Theft,District 4,Conviction,Guilty Pleas,1,1
253,First Degree Theft,District 4,No Conviction,Dismissals,3,6
254,First Degree Theft,District 4,No Conviction,Not Guilty Verdict,0,1
255,First Degree Theft,District 4,In Progress,Pending Cases,0,1
256,First Degree Theft,District 5,Arrest,No Papered Cases,6,9
257,First Degree Theft,District 5,Arrest,Papered Cases,22,20
258,First Degree Theft,District 5,Conviction,Jury Trial,0,0
259,First Degree Theft,District 5,Conviction,Court Trial,0,0
260,First Degree Theft,District 5,Conviction,Guilty Pleas,12,5
261,First Degree Theft,District 5,No Conviction,Dismissals,10,7
262,First Degree Theft,District 5,No Conviction,Not Guilty Verdict,0,0
263,First Degree Theft,District 5,In Progress,Pending Cases,0,8
264,First Degree Theft,District 6,Arrest,No Papered Cases,4,5
265,First Degree Theft,District 6,Arrest,Papered Cases,14,14
